code,description,specification
3g2a,3GPP2,3GPP2
3ge6,3GPP Release 6 extended-presentation Profile,3GPP
3ge7,3GPP Release 7 extended-presentation Profile,3GPP
3ge9,3GPP Release 9 Extended Presentation Profile,3GPP
3gf9,3GPP Release 9 File-delivery Server Profile,3GPP
3gg6,3GPP Release 6 General Profile,3GPP
3gg9,3GPP Release 9 General Profile,3GPP
3gh9,3GPP Release 9 Adaptive Streaming Profile,3GPP
3gm9,3GPP Release 9 Media Segment Profile,3GPP
3gmA,3GPP Media Segment conforming to the Media Segment Format for 3GP DASH,3GPP-DASH
3gp4,3GPP Release 4,3GPP
3gp5,3GPP Release 5,3GPP
3gp6,3GPP Release 6 basic Profile,3GPP
3gp7,3GPP Release 7,3GPP
3gp8,3GPP Release 8,3GPP
3gp9,3GPP Release 9 Basic Profile,3GPP
3gr6,3GPP Release 6 progressive-download Profile,3GPP
3gr9,3GPP Release 9 Progressive DownloadProfile,3GPP
3gs6,3GPP Release 6 streaming-server Profile,3GPP
3gs9,3GPP Release 9 Streaming ServerProfile,3GPP
3gt8,3GPP Release 8 Media Stream Recording Profile,3GPP
3gt9,3GPP Release 9 Media Stream Recording Profile,3GPP
3gtv,3GPP TV over 3GPP services,3GPP-TVP
3gvr,3GPP VR Presentation,3GPP-VR
3vra,3GPP VR Advanced Video Media Profile,3GPP-VR
3vrb,3GPP VR Basic Video Media Profile,3GPP-VR
3vrm,3GPP VR Main Video Media Profile,3GPP-VR
adti,Advanced tiling OMAF video profile,OMAF
aid3,ID3 metadata carried as timed metadata in CMAF,CMAF-ID3
ARRI,ARRI Digital Camera,ARRI
av01,AOM Video Codec,AV1-ISOBMFF
avc1,Advanced Video Coding extensions,ISO
avci,AVC image and image collection brands,HEIF
avcs,AVC image sequence brands,HEIF
avde,AVC-based viewport-dependent OMAF video profile,OMAF
avif,AV1 image format brand,AVIF
avio,AV1 intra-only brand,AVIF
avis,AV1 image sequence brand,AVIF
bbxm,Blinkbox Master File: H.264 video and 16-bit little-endian LPCM audio,Blinkbox
CAEP,Canon Digital Camera,Canon
CDes,Convergent Designs,Convergent
ca4m,CMAF Media Profile - AC-4 Main,ETSI AC-4
ca4s,CMAF Media Profile - AC-4 Single Stream,ETSI AC-4
caaa,CMAF Media Profile - AAC Adaptive Audio,CMAF
caac,CMAF Media Profile - AAC Core,CMAF
cabl,CMAF Media Profile for OMAF 3D audio baseline profile,OMAF
cama,CMAF Media Profile - AAC multichannel adaptive audio,CMAF
camc,CMAF Media Profile - AAC multichannel audio,CMAF
caqv,Casio Digital Camera,Casio
casu,CMAF Media Profile - MPEG-D USAC audio,CMAF
ccea,CMAF Supplemental Data - CEA-608/708,CMAF
ccff,Common container file format,DECE
cdm1,CMAF Media Profile - HEVC HDR10 (chd1) with SCTE Dynamic Metadata app #1 (ST2094-10),SCTE-215-1-1b
cdm4,CMAF Media Profile compatibility to HDR10+ (ST2094-40),SCTE-215-1-1b
ceac,CMAF Media Profile - Enhanced AC-3,ETSI AC-3
cfhd,CMAF Media Profile - AVC HD,CMAF
cfsd,CMAF Media Profile - AVC SD,CMAF
chd1,CMAF Media Profile - HEVC HDR10,CMAF
chdf,CMAF Media Profile - AVC HDHF,CMAF
chev,CMAF Media Profile for the HEVC-based viewport-dependent OMAF video profile,OMAF
chhd,CMAF Media Profile - HEVC HHD8,CMAF
chh1,CMAF Media Profile - HEVC HHD10,CMAF
clg1,CMAF Media Profile - HEVC HLG10,CMAF
cmf2,CMAF Structural Brand,CMAF
cmfc,CMAF Structural Brand,CMAF
cmff,CMAF Fragment Format,CMAF
cmfl,CMAF Chunk Format,CMAF
cmfs,CMAF Segment Format,CMAF
cmhm,CMAF Media Profile - MPEG-H 3D audio LC (mhm2),CMAF
cmhs,CMAF Media Profile - MPEG-H 3D audio LC (mhm1),CMAF
comp,Compressed boxes,ISO
csh1,CMAF Media Profile - Scalable HEVC media profile,CMAF
cud1,CMAF Media Profile - HEVC UHD10,CMAF
cud8,CMAF Media Profile - HEVC UHD8,CMAF
cuvd,CMAF Media Profile for the unconstrained HEVC-based viewport-independent OMAF video profile,OMAF
cvid,CMAF Media Profile for the HEVC-based viewport-independent OMAF video profile,OMAF
cvvc,CMAF media profile for the VVC-based viewport-independent OMAF video profile,OMAF
cwvt,CMAF Media Profile - WebVTT,CMAF
da0a,"DMB AF audio with MPEG Layer II audio, MOT slide show, DLS, JPG/PNG/MNG images",DMB-MAF
da0b,"DMB AF, extending da0a , with 3GPP timed text, DID, TVA, REL, IPMP",DMB-MAF
da1a,"DMB AF audio with ER-BSAC audio, JPG/PNG/MNG images",DMB-MAF
da1b,"DMB AF, extending da1a, with 3GPP timed text, DID, TVA, REL, IPMP",DMB-MAF
da2a,"DMB AF audio with HE-AAC v2 audio, MOT slide show, DLS, JPG/PNG/MNG images",DMB-MAF
da2b,"DMB AF extending da2a, with 3GPP timed text, DID, TVA, REL, IPMP",DMB-MAF
da3a,"DMB AF audio with HE-AAC, JPG/PNG/MNG images",DMB-MAF
da3b,"DMB AF extending da3a with BIFS, 3GPP timed text, DID, TVA, REL, IPMP",DMB-MAF
dash,ISO base media file format file specifically designed for DASH including movie fragments and Segment Index.,DASH
db1p,Dolby Vision cross-compatible with HDR10,Dolby
db2g,Dolby Vision cross-compatible with SDR,Dolby
db4h,Dolby Vision cross-compatible with HLG (VUI =18),Dolby
db4g,Dolby Vision cross-compatible with HLG (VUI=14),Dolby
dby1,"MP4 files with Dolby content (e.g. Dolby AC-4, Dolby Digital Plus, Dolby TrueHD (Dolby MLP))",Dolby
dmb1,DMB AF supporting all the components defined in the specification,DMB-MAF
dsms,Media Segment conforming to the DASH Self-Initializing Media Segment format type for ISO base media file format,DASH
dts1, CMAF media profile for audio codecs dtsc dtsh or dtse,DTS-HD
dts2, CMAF media profile for audio codec dtsx,DTS-UHD
dts3, CMAF media profile for audio codec dtsy,DTS-UHD
dv1a,"DMB AF video with AVC video, ER-BSAC audio, BIFS, JPG/PNG/MNG images, TS",DMB-MAF
dv1b,"DMB AF, extending dv1a, with 3GPP timed text, DID, TVA, REL, IPMP",DMB-MAF
dv2a,"DMB AF video with AVC video, HE-AACv2 audio, BIFS, JPG/PNG/MNG images, TS",DMB-MAF
dv2b,"DMB AF extending dv2a, with 3GPP timed text, DID, TVA, REL, IPMP",DMB-MAF
dv3a,"DMB AF video with AVC video, HE-AAC audio, BIFS, JPG/PNG/MNG images, TS",DMB-MAF
dv3b,"DMB AF extending dv3a with 3GPP timed text, DID, TVA, REL, IPMP",DMB-MAF
dvr1,DVB RTP,DVB
dvt1,DVB Transport Stream,DVB
dxo$20,DxO ONE camera,DxO
emsg,Event message box present,DASH
heic,HEVC image and image collection brands,HEIF
heim,L-HEVC image and image collection brands,HEIF
heis,L-HEVC image and image collection brands,HEIF
heix,HEVC image and image collection brands,HEIF
heoi,OMAF HEVC image profile,OMAF
hevc,HEVC image sequence brands,HEIF
hevd,HEVC-based viewport-dependent OMAF video profile,OMAF
hevi,HEVC-based viewport-independent OMAF video profile,OMAF
hevm,L-HEVC image sequence brands,HEIF
hevs,L-HEVC image sequence brands,HEIF
hevx,HEVC image sequence brands,HEIF
hvce,L-HEVC explicit reconstruction,NALu Video
hvci,L-HEVC implicit reconstruction,NALu Video
hvcx,L-HEVC extended explicit reconstruction brand,NALu Video
hvti,HEVC Tile Track,NALu Video
ifsd,The IFE-SD Media Profile,IFE
ifhs,The IFE-HSD Media Profile,IFE
ifhd,The IFE-HD Media Profile,IFE
ifhx,The IFE-HHD10 Media Profile,IFE
ifhh,The IFE-HDHDR Media Profile,IFE
ifhu,The IFE-UHD10 Media Profile,IFE
ifhr,The IFE-HDR10 Media Profile,IFE
ifaa,The IFE-AAC Core Media Profile,IFE
ifas,The IFE-AV1-SD Media Profile,IFE
ifah,The IFE-AV1-HD Media Profile,IFE
ifai,The IFE-AV1-HDHDR Media Profile,IFE
ifau,The IFE-AV1-UHD10 Media Profile,IFE
ifav,The IFE-AV1-HDR10 Media Profile,IFE
ifrm,"Apple iFrame Specification, Version 8.1 Jan 2013",Apple
im1i,CMAF Media Profile - IMSC1 Image,CMAF
im1t,CMAF Media Profile - IMSC1 Text,CMAF
im2i,CMAF Media Profile - IMSC1.1 Image,CMAF
im2t,CMAF Media Profile - IMSC1.1 Text,CMAF
isc2,Files encrypted according to ISMACryp 2.0,ISMACryp2
iso2,All files based on the 2004 edition of the ISO file format,ISO
iso3,Version of the ISO file format,ISO
iso4,Version of the ISO file format,ISO
iso5,Version of the ISO file format,ISO
iso6,Version of the ISO file format,ISO
iso7,Version of the ISO file format,ISO
iso8,Version of the ISO file format,ISO
iso9,Version of the ISO file format,ISO
isoa,Version of the ISO file format,ISO
isob,Version of the ISO file format,ISO
isoc,Version of the ISO file format,ISO
isom,All files based on the ISO Base Media File Format,ISO
j2ki,JPEG 2000 image and image collections in ISO/IEC 23008-12 files,J2KHEIF
j2ks,Motion JPEG 2000 in ISO/IEC 23008-12 files,J2KHEIF
j2is,JPEG 2000 image sequence in ISO/IEC 23008-12 files,J2KHEIF
J2P0,JPEG2000 Profile 0,JPEG2000
J2P1,JPEG2000 Profile 1,JPEG2000
jp2$20,JPEG2000 Part 1,JPEG2000
jpeg,JPEG-specific still image brand,HEIF
jpgs,JPEG image sequence brands,HEIF
jpm$20,JPEG 2000 Part 6 Compound Images,JPM
jpoi,OMAF legacy image profile,OMAF
jpsi,"The JPSearch data interchange format, for the exchange of image collections and respective metadata",JPSearch
jpx$20,JPEG2000 Part 2,JPX
jpxb,JPEG XR,JPXR
jxl$20,JPEG XL,JPEG XL
jxs$20,Still Image File Format for JPEG XS,JPXS
jxsc,Codestream for JPEG XS,JPXS
jxsi,JPEG XS image and image collections for HEIF,JPXS
jxss,JPEG XS image sequences for HEIF,JPXS
LCAG,Leica digital camera,Leica
lhte,L-HEVC Tile Track Explicit brand,NALu Video
lhti,L-HEVC Tile Track Implicit brand,NALu Video
