code,description,specification
acgl,group of VVC subpicture tracks with common properties,NALu Video
aebr,Auto exposure bracketing entity group,HEIF
afbr,Flash exposure information entity group,HEIF
albc,Album Collection entity group,HEIF
amgl,group of VVC subpicture tracks with different properties,NALu Video
altr,alternative entity grouping,ISO
brst,Burst image entity group,HEIF
dobr,Depth of field bracketing entity group,HEIF
eply,playout entity grouping,V3C-SYS
eqiv,equivalent entity grouping,HEIF
favc,Favorites Collection entity group,HEIF
fobr,Focus bracketing exposure bracketing,HEIF
iaug,Image item with an audio track,HEIF
opeg,VVC operating points,NALu Video
oval,Grouping of overlays that are alternatives for switching,OMAF
ovbg,Grouping of overlays and background visual media that are intended to be presented together,OMAF
pano,Panorama entity group,HEIF
slid,Slideshow entity group,HEIF
ster,Stereo entity grouping,HEIF
swpc,Object switch alternatives grouping,V3C-SYS
swtk,VVC switchable tracks,NALu Video
tsyn,Time-synchronized capture entity group,HEIF
vipo,Viewpoint entity grouping,OMAF
vvcb,VVC bitstream,NALu Video
wbbr,White balance bracketing entity group,HEIF
