code,description,type,specification
auxl,Auxiliary image item reference,item ref.,HEIF
base,Pre-derived image item base reference, item ref.,HEIF
dimg,Derived image item reference,item ref.,HEIF
dpnd,Item coding dependency reference,item ref.,HEIF
exbl,Scalable image item reference, item ref.,HEIF
fdel,File delivery reference,item ref.,ISO
font,Font item reference,item ref.,ISO
grid,Image item grid reference,item ref.,HEIF
iloc,Item data location,item ref.,ISO
prem,Pre-Multiplied item,item ref.,MIAF
tbas,HEVC Tile track base item reference,item ref.,HEIF
thmb,Thumbnail image item reference,item ref.,HEIF
pred,Predictively coded item reference,item ref.,HEIF
