code,description,specification
auvd,Auxiliary Video descriptor,ISO
av01,AVIF image item,AVIF
avc1,AVC image item,HEIF
Exif,EXIF item,HEIF
grid,Image item grid derivation,HEIF
hvc1,HEVC image item,HEIF
hvt1,HEVC tile image item,HEIF
iden,Image item identity derivation,HEIF
iovl,Image item overlay derivation,HEIF
j2k1,Contiguous Codestream box as specified in Rec. ITU-T T.800 | ISO/IEC 15444-1,J2KHEIF
jpeg,JPEG image item,HEIF
jxs1,Images coded to the JPEG-XS coding format,JPXS
lhv1,Layered HEVC image item,HEIF
mint,Data integrity item,HEIF
mime,Item identified by a MIME type,ISO
