code,description,handler,specification
avcC,AVC Configuration,Video,NALu Video
btrt,Bit-rate information,General,ISO
chnl,Channel layout,Audio,ISO
clap,Clean aperture,Video,ISO
colr,Color information (see 1 below),Video,ISO
CoLL,Content Light Level Box,Video,VPxx
dac3,Decoder specific info for AC-3 audio,Audio,ETSI AC-3
dac4,Decoder specific info for AC-4 audio,Audio,ETSI AC-4
dec3,Decoder specific info for Enhanced AC-3 audio,Audio,ETSI AC-3
dmix,Downmix instructions,Audio,ISO
dmlp,Decoder specific info for MLP audio,Audio,Dolby MLP
dvcC,Dolby Vision Configuration,Video,Dolby Vision
dvvC,Dolby Vision Extended Configuration,Video,Dolby Vision
ecam,Extrinsic camera parameters,Video,NALu Video
esds,Elementary stream descriptor,General,MP4v2
hvcC,HEVC Configuration,Video,NALu Video
icam,Intrinsic camera parameters,Video,NALu Video
leqi,Loudness equalization instructions,Audio,DRC
m4ds,MPEG-4 descriptors,General,NALu Video
mvcC,MVC configuration,Video,NALu Video
mvcP,MVC priority assignment,Video,NALu Video
pasp,Pixel aspect ratio,Video,ISO
pdc1,Parametric DRC coefficients,Audio,DRC
pdi1,Parametric DRC instructions,Audio,DRC
qlif,Layer quality assignments,Video,NALu Video
seib,Scalability information,Video,NALu Video
SmDm,Mastering Display Metadata Box,Video,VPxx
svcC,SVC configuration,Video,NALu Video
svcP,SVC priority assignments,Video,NALu Video
svmC,SVC information configuration,Metadata,NALu Video
udc1,Basic DRC coefficients,Audio,ISO
udc2,Unified DRC coefficients,Audio,ISO
udex,Unified DRC configuration extension,Audio,DRC
udi1,Basic DRC instructions,Audio,ISO
udi2,Unified DRC instructions,Audio,ISO
ueqc,Equalization coefficients,Audio,DRC
ueqi,Equalization instructions,Audio,DRC
uriI,URI Information,Metadata,ISO
vpcC,VP9 Codec Configuration,VPxx
vsib,View scalability information,Video,NALu Video
vwid,View identifier,Video,NALu Video
