code,description,type,specification
2dsr,Two dimensional spatial relationship sample grouping,sample group,OMAF
3gag,3GPP PSS Annex G video buffer parameters,sample group,3GPP
alst,Alternative startup sequence,sample group,ISO
aud$20,Access unit delimiter,sample group,NALu Video
av1f,AV1 Forward Key Frame,sample group,AV1-ISOBMFF
av1m,AV1 Multi-Frame,sample group,AV1-ISOBMFF
av1M,AV1 Metadata,sample group,AV1-ISOBMFF
av1s,AV1 Switch Frame,sample group,AV1-ISOBMFF
avcb,AVC HRD parameters,sample group,3GPP
avll,AVC layer description group,sample group,NALu Video
avss,AVC Sub-sequence group,sample group,NALu Video
dcfi,VVC decoding capability information,sample group,NALu Video
drap,Dependent random access point,sample group,ISO
dtrt,SVC decode re-timing,sample group,NALu Video
eob$20,End of bitstream,sample group,NALu Video
eos$20,End of sequence,sample group,NALu Video
eqiv,equivalent samples,sample group,HEIF
lbli,HEVC External base layer,sample group,NALu Video
linf,L-HEVC and VVC layer information,sample group,NALu Video
minp,VVC mixed NAL unit type pictures,sample group,NALu Video
mvif,MVC Scalability Information,sample group,NALu Video
nalm,NAL unit map entry,sample group,NALu Video
oinf,L-HEVC operating points information,sample group,NALu Video
opth,L-HEVC and VVC Operating Point Decode Time Hint,sample group,NALu Video
pase,Parameter set,sample group,NALu Video
prol,Audio pre-roll,sample group,ISO
pss1,In-band parameter set indication,sample group,NALu Video
rap$20,Random access point,sample group,ISO
rash,Rate share,sample group,ISO
refs,Direct reference samples list,sample group,HEIF
roll,Pre/Post roll group,sample group,ISO
rror,Rectangular region order,sample group,NALu Video
sap$20,Stream access point,sample group,ISO
seam,Identical sequence of samples from an original encoding after separation into overlapping segments stored independently. Group description: 16-byte UUID,sample group,Apple
seig,Sample Encryption Information,sample group,ISO Common Encryption
scif,SVC Scalability Information,sample group,NALu Video
scnm,AVC/SVC/MVC map groups,sample group,NALu Video
spid,VVC subpicture ID,sample group,NALu Video
spli,VVC subpicture level information,sample group,NALu Video
spor,VVC subpicture order,sample group,NALu Video
stsa,Step-wise Temporal Layer,sample group,NALu Video
stmi,SampleToMetadataItemEntry,sample group,ISO
sulm,VVC subpicture layout,sample group,NALu Video
sync,Sync sample groups,sample group,NALu Video
tele,Temporal Level,sample group,ISO
tmsh,Tile mesh sample grouping,sample group,OMAF
trif,Rectangular region group,sample group,NALu Video
tsas,Temporal Sub-Layer access,sample group,NALu Video
tscl,Temporal Layer,sample group,NALu Video
vaps,V3C atlas parameter set sample group,sample group,V3C-SYS
vipr,View priority,sample group,NALu Video
vopi,VVC operating points information,sample group,NALu Video
aebr,Auto exposure bracketing,sample group,HEIF
afbr,Flash exposure bracketing,sample group,HEIF
dobr,Depth of field bracketing,sample group,HEIF
fobr,Focus bracketing exposure bracketing,sample group,HEIF
pano,Panorama sample group,sample group,HEIF
wbbr,White balance bracketing,sample group,HEIF
