code,description,type,specification
aSEI,SEI-restricted video,protection scheme,NALu Video
cbc1,AES-CBC scheme,protection scheme,ISO Common Encryption
cbcs,AES-CBC subsample pattern encryption scheme,protection scheme,ISO Common Encryption
cenc,AES-CTR scheme,protection scheme,ISO Common Encryption
cens,AES-CTR subsample pattern encryption scheme,protection scheme,ISO Common Encryption
cpcm,CPCM (DVB BlueBook A094) protected content,protection scheme,DVB
cva1,AES-CBC-128 sample variant,protection scheme,ISO Variants
cva2,AES-CTR sample variant - supercedes cvar,protection scheme,ISO Variants
cvar,AES-CTR sample variant,protection scheme,ISO Variants
odkm,OMA DRM KMS protection scheme,protection scheme,OMA DRM 2.0
stvi,Stereo video restricted scheme,protection scheme,ISO
sve1,AES-CTR content sensitive encryption,protection scheme,ISO Common Encryption
