linkname,specification,description
3GPP,3GPP,"<a href='http://www.3gpp.org/' target='_blank'>3GPP</a> 26.234 Transparent end-to-end packet switched streaming service (PSS); Protocols and codecs, Annex D;<br><a href='http://www.3gpp.org/' target='_blank'>3GPP</a> 26.244 Transparent end-to-end packet switched streaming service (PSS); 3GPP file format (3GP)"
3GPP-DASH,3GPP-DASH,"<a href='http://www.3gpp.org/' target='_blank'>3GPP</a> 26.247 Progressive Download and Dynamic Adaptive Streaming over HTTP"
3GPP-VR,3GPP-VR,"<a href='http://www.3gpp.org/' target='_blank'>3GPP</a> 26.118 3GPP Virtual reality profiles for streaming applications"
3GPP-TVP,3GPP-TVP,"<a href='http://www.3gpp.org/' target='_blank'>3GPP</a> 26.116 Television (TV) over 3GPP services; Video profiles"
3GPP2,3GPP2,"<a href='http://www.3gpp2.org/' target='_blank'>3GPP2</a> C.S0050-A, File Formats for Multimedia Services"
ARRI,ARRI,<a href='http://www.arri.com/'>The ARRI Group</a>
AV1-ISOBMFF,AV1-ISOBMFF,<a href='https://aomediacodec.github.io/av1-isobmff/'>AV1-ISOBMFF</a>
AVIF,AVIF,<a href='https://aomediacodec.github.io/av1-avif/'>AVIF</a>
Avid,Avid,<a href='http://www.avid.com/'>Avid</a>
apple,Apple,<a href='http://www.apple.com/'>Apple</a> Inc.
atsc30,ATSC 3.0,<a href='https://www.atsc.org/standards/atsc-3-0-standards/'>ATSC 3.0</a> A337 Application Signaling
Auro,Auro,<a href='http://www.auro-3d.com/'>Auro Technologies</a>
Avs2,Avs2,<a href='http://www.gb688.cn/bzgk/gb/newGbInfo?hcno=3AB9CF558421E866CAB2B3115498E7C0'>AVS 2 Specification</a>
Avs3,Avs3,<a href='http://www.avs.org.cn/AVS3_download/index.asp'>AVS 3 Specification</a>
bitjazz,BitJazz,<a href='http://www.bitjazz.com/'>BitJazz</a>
blinkbox,Blinkbox,<a href='http://www.blinkbox.com/'>Blinkbox</a>
CamMotion,CamMotion,"<a href='https://developers.google.com/streetview/publish/camm-spec' target='_blank'>Camera Motion Metadata Track, Google Inc.</a>, embed various metadata about camera motion including orientation, gyroscope reading, accelerometer reading, positions, etc."
canon,Canon,<a href='http://www.canon.com/'>Canon</a>
casio,Casio,<a href='http://world.casio.com/'>Casio</a>
cineform,CineForm,<a href='http://www.cineform.com/'>Cineform</a>
convergent,Convergent,<a href='http://www.convergent-design.com/'>Convergent Design</a>
CMAF,CMAF,<a href='http://www.iso.ch/' target='_blank'>ISO</a>/IEC 23000-19: Common Media Application Format
CMAF-ID3,CMAF-ID3,<a href='https://aomediacodec.github.io/id3-emsg/' target='_blank'>Carriage of ID3 Timed Metadata in the Common Media Application Format (CMAF)</a>
DASH,DASH,<a href='http://www.iso.ch/' target='_blank'>ISO</a>/IEC 23009-1: Dynamic Adaptive Streaming over HTTP
dxo,DxO,<a href='http://www.dxo.com/'>DxO</a>
ISO-CENC,ISO Common Encryption,<a href='http://www.iso.ch/' target='_blank'>ISO</a>/IEC 23001-7: Common encryption format for ISO base media file format
DECE10,DECE,Digital Entertainment Content Ecosystem (<a href='http://uvcentral.com/'>DECE</a>) <a href='http://uvcentral.com/'>Common File Format &amp; Media Formats Specification</a>
DMB-MAF,DMB-MAF,"<a href='http://www.iso.ch/' target='_blank'>ISO</a>/IEC 23000-9 Information technology - Multimedia application format (MPEG-A) - Part 9: Digital Multimedia Broadcasting application format "
dolby,Dolby,<a href='http://www.dolby.com/'>Dolby</a>
dolbyvision,Dolby Vision,<a href='https://www.dolby.com/us/en/professional/licensing/apply-license-consumer.aspx'>Dolby Vision</a>
dra-spec,DRA,"Specification for multichannel digital audio coding technology, SJ/T 11368-2006 (Electronics Industrial Standardization of the People's Republic of China)"
dts,DTS,<a href='http://dts.com/get-licensed'>DTS</a>
dtshd,DTS-HD,<a href='http://www.etsi.org/'>ETSI</a> TS 102 114 Coherent Acoustics; Core and Extensions with Additional Profiles (Annex E)
dtsuhd,DTS-UHD,"<a href='http://www.etsi.org/'>ETSI</a> TS 103 491 DTS-UHD Audio Format; Delivery of Channels, Objects and Ambisonic Sound Fields"
DVBa121,DVB,DVB <a href='http://www.dvb.org/technology/standards/a121.tm3904r3.ff0020r12.DVB_File_Format_Specification.pdf'>Blue Book A121</a>
