code,description
2vuy,8 bits YUV 422 packed Cb Y0 Cr Y1
yuv2,8 bits YUV 422 packed Y0 Cb Y1 Cr
yvyu,8 bits YUV 422 packed Y0 Cr Y1 Cb
vyuy,8 bits YUV 422 packed Cr Y0 Cb Y1
yuv1,8 bits YUV 411 packed Y0 Y1 Cb Y2 Y3 Cr
v308,8 bits YUV 444 packed Cr Y Cb
v408,8 bits YUVA 444 packed Cb Y Cr A
y210,10 bits YUV 422 packed Little-Endian Y0 Cb Y1 Cr
v410,10 bits YUV 444 packed Cb Y Cr, 2 unused bits 
v210,YUV 422 10 bits packed Cb Y Cr
rgb3,RGB 24 bits packed
i420,YUV 420 8 bits planar Y Cb Cr
nv12,YUV 420 8 bits semi-planar Y CbCr
nv21,YUV 420 8  bits semi-planar Y CrCb
rgba,RGBA 32bits packed
abgr,RGBA 32bits packed
