code,description,specification
ades,"description of the content for accessibility purposes (similar to the HTML alt attribute); formatted as for the cprt user-data item",Apple
albm,Album title and track number for media,3GPP
alou,Album loudness base,ISO
angl,Name of the camera angle through which the clip was shot,Apple
auth,Author of the media,3GPP
clfn,Name of the clip file,Apple
clid,Identifier of the clip,Apple
clsf,Classification of the media,3GPP
cmid,Identifier of the camera,Apple
cmnm,Name that identifies the camera,Apple
coll,Name of the collection from which the media comes,3GPP
cprt,copyright etc.,ISO
date,"Date and time, formatted according to ISO 8601, when the content was created. For clips captured by recording devices, this is typically the date and time when the clip’s recording started.",Apple
dscp,Media description,3GPP
gnre,Media genre,3GPP
hinf,hint information,ISO
hnti,Hint information,ISO
hpix,Hipix Rich Picture (user-data or meta-data),Hipix
kind,Track kind,ISO
kywd,Media keywords,3GPP
loci,Media location information,3GPP
ludt,Track loudness container,ISO
manu,Manufacturer name of the camera,Apple
modl,Model name of the camera,Apple
orie,Orientation information,3GPP
perf,Media performer name,3GPP
prmd,Production metadata box,Youtube
reel,Name of the tape reel,Apple
rtng,Media rating,3GPP
scen,Name of the scene for which the clip was shot,Apple
shot,Name that identifies the shot,Apple
slno,Serial number of the camera,Apple
strk,Sub track information,ISO
thmb,Thumbnail image of the media,3GPP
titl,Media title,3GPP
tlou,Track loudness base,ISO
tsel,Track selection,ISO
urat,User 'star' rating of the media,3GPP
yrrc,Year when media was recorded,3GPP
swre,Name and version number of the software that generated this movie,Apple
diap,Dialogue processing (DialogueProcessingBox),ETSI AC-4
ctlc,Content type for loudness control,Apple
©arg,Name of arranger,QT
©ark,Keywords for arranger,QT
©cok,Keywords for composer,QT
©com,Name of composer,QT
©cpy,Copyright statement,QT
©day,Date the movie content was created,QT
©dir,Name of movie's director,QT
©ed1,Edit date and description 1,QT
©ed2,Edit date and description 2,QT
©ed3,Edit date and description 3,QT
©ed4,Edit date and description 4,QT
©ed5,Edit date and description 5,QT
©ed6,Edit date and description 6,QT
©ed7,Edit date and description 7,QT
©ed8,Edit date and description 8,QT
©ed9,Edit date and description 9,QT
©fmt,Indication of movie format,QT
©inf,Information about the movie,QT
©isr,ISRC code,QT
©lab,Name of record label,QT
©lal,URL of record label,QT
©mak,Name of file creator or maker,QT
©mal,URL of file creator or maker,QT
©nak,Title keywords of the content,QT
©nam,Title of the content,QT
©pdk,Keywords for producer,QT
©phg,Recording copyright statement (P),QT
©prd,Name of producer,QT
©prf,Names of performers,QT
©prk,Keywords of main artist and performer,QT
©prl,URL of main artist and performer,QT
©req,Special hardware and software requirements,QT
©snk,Subtitle keywords of the content,QT
©snm,Subtitle of content,QT
©src,Credits for those who provided movie source content,QT
©swf,Name of songwriter,QT
©swk,Keywords for songwriter,QT
©swr,Name and version number of the software (or hardware) that generated this movie,QT
©wrt,Name of movie's writer,QT
AllF,Play all frames,QT
name,Name of object,QT
tnam,Localized track name,QT
tagc,Media characteristic tag,QT
LOOP,Looping style,QT
ptv$20,Print to video (full screen mode),QT
SelO,Play selection only,QT
WLOC,Default window location for movie,QT
