code,description,type,specification
auxl,Auxiliary image item reference,item ref.,HEIF
base,Pre-derived image item base reference, item ref.,HEIF
cdsc,Item describes referenced item,item ref.,HEIF
dimg,Derived image item reference,item ref.,HEIF
dpnd,Item coding dependency reference,item ref.,HEIF
eroi,Region reference,item ref.,HEIF
evir,EVC slice reference,item ref.,HEIF
exbl,Scalable image item reference, item ref.,HEIF
fdel,File delivery reference,item ref.,ISO
font,Font item reference,item ref.,ISO
iloc,Item data location,item ref.,ISO
mask,Region mask reference,item ref.,HEIF
mint,Data integrity reference,item ref.,HEIF
pred,Predictively coded item reference,item ref.,HEIF
prem,Pre-Multiplied item,item ref.,MIAF
tbas,HEVC Tile track base item reference,item ref.,HEIF
thmb,Thumbnail image item reference,item ref.,HEIF
auxr,Auxiliary information item reference,item ref.,CENC
sato,Sample Transform Derived Image Items combine input pixel values using basic mathematical operations,item ref.,AVIF
